,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
10,SPY,2010-07-23,109.2400,110.5700,108.9300,110.4100,221913150,0.0000,1.0000,90.2288,107.8921,56.8613,57.1450,71.4874,8.0333,-1.8412,2.8367000000000004,8.2100,18.8614,3497278713.0000,2.1427,114.7661,0.0676,-0.0410,111.5600,1
11,SPY,2010-07-26,110.6000,111.6700,110.2900,111.5600,181974164,0.0000,1.0000,91.1686,108.5129,59.7801,75.3150,94.3669,8.4476,-1.2717,2.2996499999999997,8.6900,18.6530,3679252877.0000,2.0882,148.0122,0.3251,-0.0196,111.5500,-1
12,SPY,2010-07-27,112.1700,112.2900,111.1100,111.5500,204764961,0.0000,1.0000,91.1604,108.9014,59.7422,86.5822,93.8923,5.1268,-11.4374,2.345950000000002,5.4400,18.7514,3474487916.0000,2.0233,146.7099,0.5224,0.0032,110.8300,-1
13,SPY,2010-07-28,111.3200,111.6600,110.4600,110.8300,162881260,0.0000,1.0000,90.5720,109.1636,56.9463,90.3283,82.7256,3.4248,-22.5657,2.3364499999999992,3.6700,18.3966,3311606656.0000,1.9645,99.6706,0.6135,0.0243,110.2900,-1
14,SPY,2010-07-29,111.5200,111.8200,109.4100,110.2900,220040677,0.0000,1.0000,90.1307,109.3300,54.8721,80.0430,63.5111,2.1582,-30.9119,2.316900000000004,2.3300,17.3924,3091565979.0000,1.9963,67.5422,0.6348,0.0419,110.2700,-1
15,SPY,2010-07-30,109.1700,110.8600,108.9800,110.2700,219883424,0.0000,1.0000,90.1143,109.4900,54.7925,64.5878,47.5268,2.0735,-31.2210,2.2761500000000012,2.2400,16.1967,2871682555.0000,1.9880,36.1064,0.6427,0.0563,112.7600,1
16,SPY,2010-08-02,111.9900,112.9400,111.5400,112.7600,188055426,0.0000,1.0000,92.1492,109.7114,62.1537,56.4464,58.3012,2.8269,-2.5281,2.604700000000001,3.1000,16.1892,3059737981.0000,2.0367,138.1153,0.8402,0.0733,112.2200,-1
17,SPY,2010-08-03,112.4800,112.7700,111.8500,112.2200,146470014,0.0000,1.0000,91.7079,109.8950,59.8766,59.3033,72.0818,2.3438,-10.1124,2.778350000000003,2.5700,16.1822,2913267967.0000,1.9570,109.2004,0.9423,0.0897,112.9700,1
18,SPY,2010-08-04,112.5300,113.1100,112.1600,112.9700,157998963,0.0000,1.0000,92.3208,110.1300,61.9611,73.8924,91.2943,2.9996,-1.9204,3.017800000000001,3.2900,16.3472,3071266930.0000,1.8851,110.3576,1.0714,0.1063,112.8500,-1
19,SPY,2010-08-05,112.2500,112.9100,112.0800,112.8500,140358072,0.0000,1.0000,92.2228,110.5721,61.4114,84.6957,90.7110,5.8035,-3.5665,2.8144999999999953,6.1900,16.4395,2930908858.0000,1.8140,92.9822,1.1507,0.1217,112.3900,-1
20,SPY,2010-08-06,111.7400,112.5700,110.9200,112.3900,239618389,0.0000,1.0000,91.8468,110.9364,59.2416,89.2727,85.8127,4.7535,-9.8765,2.53425,5.1000,15.6760,2691290469.0000,1.8223,57.4876,1.1630,0.1343,112.9900,1
21,SPY,2010-08-09,112.9200,113.1800,112.3200,112.9900,120724863,0.0000,1.0000,92.3372,111.2586,61.1688,86.8880,84.1403,4.1574,-2.9008,2.428350000000002,4.5100,15.3315,2812015332.0000,1.7535,92.3611,1.2073,0.1454,112.3800,-1
22,SPY,2010-08-10,112.0300,112.9800,111.3700,112.3800,242692534,0.0000,1.0000,91.8387,111.6379,58.1580,81.4641,74.4393,4.9594,-16.4948,1.7192000000000007,5.3100,14.3526,2569322798.0000,1.7440,51.6899,1.1796,0.1533,109.3000,-1
23,SPY,2010-08-11,110.6500,110.6900,109.1200,109.3000,272943363,0.0000,1.0000,89.3216,111.6264,45.8788,70.7074,53.5427,-0.1462,-91.2941,1.752600000000001,-0.1600,14.4824,2296379435.0000,1.8523,-126.1815,0.8987,0.1516,108.6300,-1
24,SPY,2010-08-12,107.6500,109.0200,107.6000,108.6300,239364581,0.0000,1.0000,88.7741,111.4993,43.7165,52.3822,29.1647,-1.6122,-81.5412,2.059199999999997,-1.7800,15.2796,2057014854.0000,1.8414,-183.9306,0.6150,0.1421,108.3100,-1
