,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
15,BAC,11/30/2016,20.77,21.19,20.72,21.12,191597643,0.075,1,19.6975,20.115,77.185,58.3427,49.6573,17.5292,-2.381,0.90485,21.5,1
16,BK,11/30/2016,47.46,47.731,47.37,47.42,8375257,0,1,43.9253,47.2571,68.9344,40.2511,35.0942,4.1282,-22.5941,0.61245,48.6,1
17,JPM,11/30/2016,79.92,80.53,79.7,80.17,25351594,0,1,72.3688,78.3586,76.4815,65.5336,67.5626,9.4471,-5.7052,1.48285,81.79,1
18,KO,11/30/2016,41,41.2,40.35,40.35,22409697,0,1,35.9356,41.1786,36.362,58.3792,37.3386,-4.5422,-100,0.48105,40.17,-1
19,MCO,11/30/2016,101.65,102.06,100.46,100.5,861752,0,1,96.8101,100.5464,44.7057,43.4151,30.5567,-0.1689,-47.3384,1.14325,97.25,-1
20,SPY,11/30/2016,221.63,221.82,220.31,220.38,113291793,0,1,204.7986,219.1636,63.3643,69.6946,50.9094,1.849,-21.8182,2.512,219.57,-1
21,USB,11/30/2016,49.57,49.77,49.43,49.62,6887002,0,1,44.5878,48.8157,72.6931,52.3984,47.7445,6.321,-5.3763,0.9004,50.39,1
22,WFC,11/30/2016,52.48,53.16,52.3,52.92,26566806,0,1,46.6399,52.26,67.3461,43.996,45.4312,10.273,-21.6319,0.7638,54.34,1
23,AAPL,12/1/2016,110.365,110.94,109.03,109.49,37086862,0,1,104.0543,110.06,42.7914,47.7049,30.0728,1.5771,-35.48,2.69685,109.9,1
24,AMZN,12/1/2016,752.41,753.37,738.03,743.65,4665993,0,1,743.65,758.1214,39.2726,12.0254,5.4243,0.1711,-59.2345,27.81115,740.34,-1
25,AXP,12/1/2016,72.45,72.77,71.78,72.53,4297732,0,1,68.4159,71.9314,67.2,45.9001,42.3728,3.4517,-18.4136,0.9898,71.86,-1
26,BAC,12/1/2016,21.42,21.94,21.34,21.5,199092169,0,1,20.0519,20.3107,79.1538,54.7702,63.1368,14.6055,-13.2931,0.8636,21.23,-1
27,BK,12/1/2016,47.67,48.67,47.57,48.6,7570739,0,1,45.0183,47.4279,74.9761,44.5832,61.8027,5.172,-2.5455,0.6504,47.65,-1
28,JPM,12/1/2016,80.65,82.279,80.65,81.79,23820802,0,1,73.8312,78.7257,79.8578,70.4255,81.1737,6.7058,-7.5127,1.8218,81.6,-1
29,KO,12/1/2016,40.31,40.39,39.88,40.17,20409274,0,1,35.7753,41.1236,34.9323,37.4976,10.3242,-1.8808,-84.8168,0.6156,40.36,1
30,MCO,12/1/2016,100.68,101.13,97.01,97.25,1266178,0,1,93.6794,100.3307,32.7752,32.5369,20.9608,-3.0119,-95.2475,1.7136,97.62,1
31,SPY,12/1/2016,220.73,220.73,219.15,219.57,79040487,0,1,204.0459,219.3529,59.1086,53.8271,36.882,1.2216,-34.6154,2.3339,219.68,1
32,USB,12/1/2016,49.81,50.62,49.63,50.39,10571287,0,1,45.2797,49.0143,76.1949,55.4554,71.3211,5.8391,-7.1987,0.9416,50,-1
33,WFC,12/1/2016,53.13,54.47,53.06,54.34,35620778,0,1,47.8914,52.4536,72.0053,52.8334,73.3744,5.2489,-3.4759,1.0633,53.58,-1
